iter	Logloss
0	0.6177854108
1	0.5564927965
2	0.5060722223
3	0.4637666521
4	0.429681581
5	0.4009951417
6	0.3772477511
7	0.3583194272
8	0.3418859169
9	0.3284921982
10	0.3178287313
11	0.3077405981
12	0.3004287622
13	0.2937777076
14	0.2883416125
15	0.2833290831
16	0.278895312
17	0.2749981392
18	0.270978645
19	0.2687612054
20	0.2663571046
21	0.2637667444
22	0.2619910866
23	0.2596888621
24	0.2571909468
25	0.2557011209
26	0.254663718
27	0.2535956347
28	0.2522996251
29	0.250661511
30	0.2495946612
31	0.2488993903
32	0.2482863757
33	0.2477139941
34	0.2470790839
35	0.2464055401
36	0.2458921081
37	0.2454277245
38	0.2444543484
39	0.2438934948
40	0.2434054519
41	0.2430573295
42	0.2425401466
43	0.2422898951
44	0.2419756339
45	0.2414300852
46	0.2409775247
47	0.240874865
48	0.2406437419
49	0.2404287411
50	0.2400802424
51	0.2395577164
52	0.238688898
53	0.2385400715
54	0.2383044719
55	0.2379845941
56	0.2377324436
57	0.23744778
58	0.2371665884
59	0.2369345029
60	0.2363853773
61	0.23612945
62	0.2359255603
63	0.2357976052
64	0.2353813923
65	0.2351785519
66	0.235033474
67	0.2345202381
68	0.2343597174
69	0.2343223639
70	0.2342038848
71	0.2341030194
72	0.2338863315
73	0.2337668933
74	0.2336829838
75	0.2336088844
76	0.233492079
77	0.233413299
78	0.2333138402
79	0.2331834244
80	0.2329464245
81	0.232924092
82	0.2328481684
83	0.2328425309
84	0.2327110793
85	0.232655171
86	0.2326544288
87	0.2323846862
88	0.2322971563
89	0.2321892571
90	0.232075249
91	0.2319996573
92	0.2318674566
93	0.2317941503
94	0.2316684248
95	0.2314784465
96	0.231423968
97	0.2312416624
98	0.2307731026
99	0.2306299232
100	0.2303948115
101	0.2302380541
102	0.2300779406
103	0.2300220275
104	0.229972671
105	0.229845636
106	0.2297226851
107	0.2296721043
108	0.2295591101
109	0.2294398987
110	0.2292082108
111	0.2291392327
112	0.2290020548
113	0.2288414249
114	0.2287758443
115	0.2287125045
116	0.2286896786
117	0.2286514848
118	0.2286147661
119	0.2284459505
120	0.2283114196
121	0.2281535568
122	0.2281064937
123	0.2280989371
124	0.2280041874
125	0.2279889356
126	0.2279756424
127	0.2279032254
128	0.2278569838
129	0.2278297442
130	0.2277308518
131	0.2276344337
132	0.227620891
133	0.2276184045
134	0.2275946268
135	0.227586344
136	0.2274533899
137	0.2274024485
138	0.2273906891
139	0.2272672204
140	0.2271970555
141	0.2271408505
142	0.2268079905
143	0.2267740906
144	0.226761673
145	0.2266791036
146	0.2266614295
147	0.2266485364
148	0.2265565082
149	0.2264266651
150	0.226409505
151	0.2264030355
152	0.2263798272
153	0.2262440229
154	0.2262372915
155	0.2262160103
156	0.2261616023
157	0.226032271
158	0.2259150426
159	0.225805965
160	0.225786919
161	0.2256159347
162	0.2256006526
163	0.2255842397
164	0.2254676208
165	0.2254573813
166	0.2253566979
167	0.2252437232
168	0.2251842069
169	0.2251712907
170	0.2251547192
171	0.2251368072
172	0.2251148891
173	0.2249909891
174	0.224920147
175	0.224793538
176	0.224779809
177	0.2246829033
178	0.2245692693
179	0.2244738572
180	0.2242124687
181	0.2242034054
182	0.2241275638
183	0.2239532924
184	0.2238246426
185	0.2237997488
186	0.2236854122
187	0.2236263815
188	0.2235214456
189	0.2235001151
