iter	Passed	Remaining
399	68306	102459
400	68474	102285
401	68647	102116
402	68820	101950
403	68992	101781
404	69145	101584
405	69296	101384
406	69481	101235
407	69688	101115
408	69859	100946
409	70060	100818
410	70227	100642
411	70401	100476
412	70555	100280
413	70726	100109
414	70926	99980
415	71088	99797
416	71248	99611
417	71433	99460
418	71615	99304
419	71772	99114
420	71941	98941
421	72108	98764
422	72269	98579
423	72462	98440
424	72635	98271
425	72798	98089
426	72997	97956
427	73164	97780
428	73332	97605
429	73512	97446
430	73688	97281
431	73859	97111
432	74020	96927
433	74227	96803
434	74380	96609
435	74562	96451
436	74716	96259
437	74887	96088
438	75047	95903
439	75202	95712
440	75360	95525
441	75526	95348
442	75710	95193
443	75919	95070
444	76099	94910
445	76268	94737
446	76436	94561
447	76598	94379
448	76750	94186
449	76907	93998
450	77076	93825
451	77246	93652
452	77426	93492
453	77620	93349
454	77797	93185
455	77980	93029
456	78177	92888
457	78362	92734
458	78514	92540
459	78679	92363
460	78857	92199
461	79010	92007
462	79195	91853
463	79373	91689
464	79564	91541
465	79731	91366
466	79890	91181
467	80058	91007
468	80224	90829
469	80401	90665
470	80587	90511
471	80743	90323
472	80916	90154
473	81102	89999
474	81265	89819
475	81418	89628
476	81595	89463
477	81798	89327
478	81984	89173
479	82161	89008
480	82318	88821
481	82505	88667
482	82738	88562
483	82930	88413
484	83118	88259
485	83286	88084
486	83461	87916
487	83623	87736
488	83795	87565
489	83959	87386
490	84153	87238
491	84311	87053
492	84491	86890
493	84653	86709
494	84818	86532
495	84974	86344
496	85167	86195
497	85339	86025
498	85551	85893
499	85718	85718
500	85900	85557
501	86056	85370
502	86236	85207
503	86398	85027
504	86575	84860
505	86762	84704
506	86943	84542
507	87101	84358
508	87266	84180
509	87433	84004
510	87627	83854
511	87821	83704
512	88013	83552
513	88173	83370
514	88336	83190
515	88521	83031
516	88705	82872
517	88893	82715
518	89090	82567
519	89260	82394
520	89434	82224
521	89633	82078
522	89808	81909
523	89970	81728
524	90142	81557
525	90317	81388
526	90482	81210
527	90661	81046
528	90861	80899
529	91052	80745
530	91221	80570
531	91411	80414
532	91545	80209
533	91690	80014
534	91859	79840
535	92010	79650
536	92183	79480
537	92348	79303
538	92510	79122
539	92670	78941
540	92818	78749
541	93020	78604
542	93178	78420
543	93374	78270
544	93565	78114
545	93727	77934
546	93895	77760
547	94081	77600
548	94249	77425
549	94420	77253
550	94592	77081
551	94763	76909
552	94917	76723
553	95085	76548
554	95270	76388
555	95461	76232
556	95631	76058
557	95830	75908
558	96017	75748
559	96169	75561
560	96341	75390
561	96535	75235
562	96701	75059
563	96852	74872
564	97029	74704
565	97188	74522
566	97349	74342
567	97531	74178
568	97698	74003
569	97865	73828
570	98069	73680
571	98214	73489
572	98388	73319
573	98555	73143
574	98742	72983
575	98898	72800
576	99087	72640
577	99229	72447
578	99429	72297
579	99601	72125
580	99792	71967
581	99954	71788
582	100146	71631
583	100333	71470
584	100512	71303
585	100687	71133
586	100845	70952
587	100996	70766
588	101162	70590
589	101357	70434
590	101540	70270
591	101707	70095
592	101876	69922
593	102046	69749
594	102204	69567
595	102370	69391
596	102550	69225
597	102736	69063
598	102908	68891
599	103078	68718
600	103278	68565
601	103445	68391
602	103605	68211
603	103762	68029
604	103933	67857
605	104099	67682
606	104308	67534
607	104475	67359
608	104652	67190
609	104862	67043
610	105010	66855
611	105189	66688
612	105379	66528
613	105552	66357
614	105732	66190
615	105924	66030
616	106131	65880
617	106302	65707
618	106448	65519
619	106631	65354
620	106808	65185
621	106972	65008
622	107204	64873
623	107411	64722
624	107586	64551
625	107821	64417
626	108002	64250
627	108240	64116
628	108401	63937
629	108557	63756
630	108720	63578
631	108912	63417
632	109119	63265
633	109292	63093
634	109457	62916
635	109642	62751
636	109806	62573
637	109970	62396
638	110133	62219
639	110303	62045
640	110467	61868
641	110620	61685
642	110791	61512
643	110978	61348
644	111150	61175
645	111310	60996
646	111498	60832
647	111672	60661
648	111868	60501
649	112040	60329
650	112198	60149
651	112353	59967
652	112530	59798
653	112682	59615
654	112854	59442
655	113037	59275
656	113207	59102
657	113367	58923
658	113538	58750
659	113713	58579
660	113865	58397
661	114048	58230
662	114201	58048
663	114392	57885
664	114584	57723
665	114746	57545
666	114905	57366
667	115091	57201
668	115263	57028
669	115473	56874
670	115620	56690
671	115775	56509
672	115960	56343
673	116177	56192
674	116344	56017
675	116505	55840
676	116669	55663
677	116850	55495
678	117011	55317
679	117204	55155
680	117395	54991
681	117572	54821
682	117777	54663
683	117966	54499
684	118152	54332
685	118317	54156
686	118527	54001
687	118704	53830
688	118866	53653
689	119056	53489
690	119262	53331
691	119459	53169
692	119623	52993
693	119781	52814
694	119948	52639
695	120109	52461
696	120272	52284
697	120441	52110
698	120607	51935
699	120816	51778
700	120987	51605
701	121140	51424
702	121308	51249
703	121493	51082
704	121683	50917
705	121868	50749
706	122047	50579
707	122239	50415
708	122469	50266
709	122648	50095
710	122820	49922
711	122991	49749
712	123159	49574
713	123312	49394
714	123504	49228
715	123670	49053
716	123845	48881
717	124037	48716
718	124207	48542
719	124417	48384
720	124589	48211
721	124765	48039
722	124917	47858
723	125110	47693
724	125274	47518
725	125447	47345
726	125623	47173
727	125795	47000
728	125977	46831
729	126137	46653
730	126325	46486
731	126501	46314
732	126665	46138
733	126829	45962
734	127006	45791
735	127161	45612
736	127353	45446
737	127533	45275
738	127676	45092
739	127848	44919
740	128009	44743
741	128170	44565
742	128348	44394
743	128559	44235
744	128739	44065
745	128907	43890
746	129116	43730
747	129290	43557
748	129451	43380
749	129635	43211
750	129816	43041
751	129994	42870
752	130162	42696
753	130350	42528
754	130548	42363
755	130703	42184
756	130890	42016
757	131101	41855
758	131264	41679
759	131461	41514
760	131666	41351
761	131837	41177
762	132023	41008
763	132192	40834
764	132435	40682
765	132599	40506
766	132801	40342
767	132958	40164
768	133119	39987
769	133328	39825
770	133512	39655
771	133663	39475
772	133825	39299
773	133997	39125
774	134221	38967
775	134412	38799
776	134587	38626
777	134755	38452
778	134980	38293
779	135169	38124
780	135346	37952
781	135497	37772
782	135670	37599
783	135836	37424
784	135995	37247
785	136190	37079
786	136454	36931
787	136626	36757
788	136783	36579
789	136972	36410
790	137137	36234
791	137319	36063
792	137497	35891
793	137670	35718
794	137835	35542
795	138011	35369
796	138174	35193
797	138370	35026
798	138567	34858
799	138733	34683
800	138921	34513
801	139093	34339
802	139267	34166
803	139463	33998
804	139618	33820
805	139784	33645
806	139950	33470
807	140102	33291
808	140269	33116
809	140427	32939
810	140604	32767
811	140764	32590
812	140938	32417
813	141106	32242
814	141265	32066
815	141438	31892
816	141596	31716
817	141807	31551
818	141971	31375
819	142150	31203
820	142333	31032
821	142512	30860
822	142680	30685
823	142864	30514
824	143041	30342
825	143232	30172
826	143410	30000
827	143586	29827
828	143745	29650
829	143921	29477
830	144076	29300
831	144238	29125
832	144406	28950
833	144573	28776
834	144771	28607
835	144928	28430
836	145091	28255
837	145299	28089
838	145471	27915
839	145637	27740
840	145813	27567
841	146007	27397
842	146198	27227
843	146366	27053
844	146532	26878
845	146709	26706
846	146876	26531
847	147071	26361
848	147241	26187
849	147412	26013
850	147585	25840
851	147741	25664
852	147916	25490
853	148083	25316
854	148247	25141
855	148454	24973
856	148669	24807
857	148841	24633
858	149002	24457
859	149175	24284
860	149339	24109
861	149499	23933
862	149667	23759
863	149836	23585
864	150001	23410
865	150155	23234
866	150299	23056
867	150465	22881
868	150637	22708
869	150855	22541
870	151066	22373
871	151253	22202
872	151425	22028
873	151618	21858
874	151791	21684
875	151978	21512
876	152162	21340
877	152329	21166
878	152501	20992
879	152680	20820
880	152840	20644
881	153033	20473
882	153201	20299
883	153360	20124
884	153532	19950
885	153707	19777
886	153883	19604
887	154058	19430
888	154226	19256
889	154388	19081
890	154580	18910
891	154786	18740
892	154962	18567
893	155130	18393
894	155348	18225
895	155510	18050
896	155673	17875
897	155838	17701
898	156009	17527
899	156178	17353
900	156345	17178
901	156501	17003
902	156675	16830
903	156855	16657
904	157044	16485
905	157222	16312
906	157441	16143
907	157654	15973
908	157837	15801
909	158005	15626
910	158174	15452
911	158359	15280
912	158541	15107
913	158700	14932
914	158862	14757
915	159052	14585
916	159224	14411
917	159387	14237
918	159553	14062
919	159713	13888
920	159882	13714
921	160053	13540
922	160216	13365
923	160417	13194
924	160657	13026
925	160827	12852
926	160995	12678
927	161190	12506
928	161354	12331
929	161531	12158
930	161710	11985
931	161896	11812
932	162067	11638
933	162250	11465
934	162416	11290
935	162587	11117
936	162752	10942
937	162902	10767
938	163054	10592
939	163224	10418
940	163482	10250
941	163662	10076
942	163821	9902
943	164045	9731
944	164210	9557
945	164384	9383
946	164553	9209
947	164714	9034
948	164899	8861
949	165098	8689
950	165267	8515
951	165449	8341
952	165629	8168
953	165780	7993
954	165924	7818
955	166100	7644
956	166258	7470
957	166420	7296
958	166585	7121
959	166788	6949
960	166988	6776
961	167202	6604
962	167405	6431
963	167583	6258
964	167755	6084
965	167910	5909
966	168081	5735
967	168262	5562
968	168449	5388
969	168630	5215
970	168809	5041
971	168974	4867
972	169135	4693
973	169304	4519
974	169484	4345
975	169674	4172
976	169870	3998
977	170022	3824
978	170223	3651
979	170388	3477
980	170552	3303
981	170710	3129
982	170884	2955
983	171080	2781
984	171239	2607
985	171408	2433
986	171586	2260
987	171789	2086
988	171972	1912
989	172135	1738
990	172340	1565
991	172535	1391
992	172703	1217
993	172950	1043
994	173128	869
995	173374	696
996	173538	522
997	173669	348
998	173839	174
999	174060	0
